Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,03/19/2024,"PAYMENT TO CHASE CARD ENDING IN 9901 03/19",-1110.35,LOAN_PMT, ,,
DEBIT,03/18/2024,"POS DEBIT                TAIGA SMOKE AND VAPE      TEMPE        AZ",-30.25,MISC_DEBIT, ,,
DEBIT,03/18/2024,"POS DEBIT                U-HAUL STORAGE OF APACH   TEMPE        AZ",-56.21,MISC_DEBIT, ,,
DEBIT,03/18/2024,"ORIG CO NAME:PAYPAL           CO ENTRY DESCR:INST XFER  SEC:WEB IND ID:EXPRESSVPN      ORIG ID:PAYPALSI77",-12.95,ACH_DEBIT, ,,
DEBIT,03/18/2024,"ORIG CO NAME:CHASE CREDIT CRD CO ENTRY DESCR:AUTOPAY    SEC:PPD                        ORIG ID:4760039224",-93.42,ACH_DEBIT, ,,
DEBIT,03/18/2024,"ORIG CO NAME:PAYPAL           CO ENTRY DESCR:INST XFER  SEC:WEB IND ID:STEAM GAMES     ORIG ID:PAYPALSI77",-28.29,ACH_DEBIT, ,,
DEBIT,03/18/2024,"ORIG CO NAME:PAYPAL           CO ENTRY DESCR:INST XFER  SEC:WEB IND ID:GITHUB INC      ORIG ID:PAYPALSI77",-4.02,ACH_DEBIT, ,,
DEBIT,03/18/2024,"ATM DEBIT                7200 W CHANDLER BLVD      CHANDLER     AZ",-102.00,MISC_DEBIT, ,,
DEBIT,03/18/2024,"POS DEBIT                VZWRLSS*APOCC VISW        800-922-0204 FL",-79.88,MISC_DEBIT, ,,
DEBIT,03/18/2024,"POS DEBIT                LB-TASTE KITCHEN          CHANDLER     AZ",-9.50,MISC_DEBIT, ,,
DEBIT,03/18/2024,"ATM DEBIT                1077 SOUTH KYRENE ROAD    CHANDLER     AZ",-143.00,MISC_DEBIT, ,,
DEBIT,03/18/2024,"POS DEBIT                TREND SMOKE & VAPE        PHOENIX      AZ",-43.42,MISC_DEBIT, ,,
DEBIT,03/16/2024,"POS DEBIT                TEXAS ROADHOUSE #512     TEMPE         AZ",-70.39,MISC_DEBIT, ,,
DEBIT,03/15/2024,"NNT MSBILL.INFO    060 MSBILL.INFO WA221236  03/15",-23.91,DEBIT_CARD,5004.44,,
DEBIT,03/15/2024,"LIGHTHOUSE PSYCHIATRY 480-5656440 AZ         03/14",-50.00,DEBIT_CARD,5028.35,,
DEBIT,03/15/2024,"JOLIES PLACE CHANDLER AZ                     03/13",-58.56,DEBIT_CARD,5078.35,,
DEBIT,03/15/2024,"Taiga Smoke and Vape Tempe AZ                03/13",-46.45,DEBIT_CARD,5136.91,,
DEBIT,03/14/2024,"TACO BELL 037538 CHANDLER AZ                 03/13",-23.61,DEBIT_CARD,5183.36,,
DEBIT,03/13/2024,"PAYPAL           INST XFER  APPLE.COM BILL  WEB ID: PAYPALSI77",-3.18,ACH_DEBIT,5206.97,,
DEBIT,03/13/2024,"ARCO #42722 AMPM CHANDLER AZ                 03/13",-9.49,DEBIT_CARD,5210.15,,
DEBIT,03/13/2024,"IC* INSTACART*SUBSCR HTTPSINSTACAR CA        03/13",-10.55,DEBIT_CARD,5219.64,,
DEBIT,03/13/2024,"WWW.DEEPL.COM KOLN                           03/13",-11.84,DEBIT_CARD,5230.19,,
DEBIT,03/13/2024,"LIGHTHOUSE PSYCHIATRY 480-5656440 AZ         03/12",-50.00,DEBIT_CARD,5242.03,,
DEBIT,03/12/2024,"Netflix.com 866-5797172 CA                   03/12",-7.54,DEBIT_CARD,5292.03,,
DEBIT,03/12/2024,"Rocket Money     Premium    ST-B5K2E8W7Y0Q6 CCD ID: 1800948598",-8.68,MISC_DEBIT,5299.57,,
DEBIT,03/12/2024,"MINDVALLEY 188865056 HTTPSMINDVALL CA        03/11",49.00,DEBIT_CARD,5308.25,,
DEBIT,03/11/2024,"CIRCLE K # 03480 4810 PHOENIX AZ             03/11",-6.99,DEBIT_CARD,5259.25,,
DEBIT,03/11/2024,"AMERICAN EXPRESS ACH PMT    A9748           WEB ID: 9493560001",-2.16,ACH_DEBIT,5266.24,,
DEBIT,03/11/2024,"PAYPAL           INST XFER  GODADDY.COM     WEB ID: PAYPALSI77",-21.71,ACH_DEBIT,5268.40,,
DEBIT,03/11/2024,"SP ADAPT NATURALS HTTPSADAPTNAT NV           03/11",-51.90,DEBIT_CARD,5290.11,,
DEBIT,03/11/2024,"METAPAY*Jessica Pugh pay.fb.com CA           03/10",-30.00,DEBIT_CARD,5342.01,,
DEBIT,03/11/2024,"MICROSOFT REDMOND WA                 020295  03/10",-32.57,DEBIT_CARD,5372.01,,
DEBIT,03/11/2024,"OPENAI HTTPSOPENAI.C CA                      03/10",-16.57,DEBIT_CARD,5404.58,,
DEBIT,03/11/2024,"OPENAI HTTPSOPENAI.C CA                      03/10",-10.78,DEBIT_CARD,5421.15,,
DEBIT,03/11/2024,"Nintendo CD1168887117 800-2553700 WA         03/10",-4.30,DEBIT_CARD,5431.93,,
DEBIT,03/11/2024,"ATM WITHDRAWAL                       001059  03/099538 E RI",-60.00,ATM,5436.23,,
DEBIT,03/11/2024,"CVS/PHARM 03491--NWC R SUN LAKES AZ          03/09 Purchase $6.37 Cash Back $40.00",-46.37,DEBIT_CARD,5496.23,,
